Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2022-11-13 08:23:25,63.79.210.48,198.219.82.17,16811,53600,UDP,306,Control,HTTP,Perferendis sapiente vitae soluta. Hic delectus quae nemo ea esse est rerum.,IoC Detected,87.42,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Himmat Karpe,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0),Segment C,"Bokaro, Rajasthan",114.133.48.179,Log Data,Alert Data,Firewall
2023-02-12 07:13:17,11.48.99.245,178.157.14.116,34489,20396,ICMP,1022,Data,DNS,"Amet libero optio quidem praesentium libero. Ea magnam atque corporis ipsum iure iusto.
Eveniet dolor odio libero. Minus iste fugit asperiores minima eos ipsum.",IoC Detected,54.05,Alert Triggered,Intrusion,Known Pattern A,Logged,High,Yuvaan Dubey,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_6) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/45.0.865.0 Safari/534.2",Segment A,"Phagwara, Andhra Pradesh",192.31.159.5,Log Data,Alert Data,Firewall
2023-05-16 13:01:56,170.211.138.30,172.97.181.148,25022,6593,TCP,554,Control,DNS,Voluptate mollitia cupiditate necessitatibus nisi expedita pariatur. Recusandae dolorum eligendi qui placeat placeat molestiae dolorum. Odio sequi aut deleniti eius molestias.,IoC Detected,97.82,Alert Triggered,Malware,Known Pattern B,Blocked,High,Aradhya Kamdar,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; sk-SK) AppleWebKit/531.45.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.45.6",Segment A,"Amravati, Kerala",95.170.137.42,Log Data,Alert Data,Firewall
2021-10-25 04:23:15,129.189.216.143,197.202.27.160,19199,27928,ICMP,1178,Data,HTTP,Eaque deserunt nemo ad voluptate. Aliquid rem sit deleniti. Accusamus minus unde inventore necessitatibus corporis vitae.,IoC Detected,5.39,Alert Triggered,Malware,Known Pattern B,Ignored,High,Ira Kapadia,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.0),Segment C,"Tirunelveli, Gujarat",57.192.174.154,Log Data,Alert Data,Server
2022-10-30 05:51:47,62.75.113.77,216.196.28.158,42864,48696,ICMP,765,Control,DNS,"Dolores vitae neque velit maiores.
Reprehenderit architecto distinctio tempora quo. Dignissimos itaque tenetur ad rerum. Recusandae officia commodi dolorum veritatis voluptatem.",IoC Detected,47.31,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Arnav Krish,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; wal-ET) AppleWebKit/535.33.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6535.33.7",Segment C,"Ranchi, Sikkim",199.194.2.180,Log Data,Alert Data,Server
2020-03-24 05:59:35,175.197.78.254,78.172.11.97,40397,45649,TCP,712,Control,FTP,Magni voluptatem accusamus esse dolorem explicabo esse. Facilis quos doloribus cumque vel sapiente.,IoC Detected,55.44,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Rati Thaker,Opera/8.95.(X11; Linux x86_64; ik-CA) Presto/2.9.164 Version/12.00,Segment A,"Pudukkottai, Odisha",157.200.212.102,Log Data,Alert Data,Firewall
2022-05-29 09:29:50,73.162.206.250,73.201.71.6,63422,60576,TCP,1409,Data,DNS,"Quis itaque asperiores officiis perferendis. Facere hic eveniet quia eius dicta.
Ipsum voluptas accusantium quam dicta fugit magnam inventore.",IoC Detected,2.26,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Dhanuk Shankar,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.28.1 (KHTML, like Gecko) Version/5.0 Safari/533.28.1",Segment B,"Raipur, Nagaland",190.109.248.37,Log Data,Alert Data,Firewall
2021-02-08 00:59:54,10.90.47.5,117.97.204.110,51264,36338,ICMP,1132,Data,HTTP,"Nemo sequi reprehenderit. Maxime vitae in officiis incidunt numquam.
Ducimus deleniti quaerat nam aliquid similique dignissimos. Eos illo asperiores facilis laborum.",IoC Detected,15.8,Alert Triggered,Intrusion,Known Pattern B,Ignored,High,Krish Bajwa,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/28.0.892.0 Safari/534.2",Segment A,"Khora , Manipur",77.239.33.83,Log Data,Alert Data,Server
2020-12-28 10:10:15,14.59.56.74,75.118.190.146,56288,33177,ICMP,438,Data,DNS,Provident temporibus ipsum doloremque. Ex sed fugit tempore repellat sit placeat exercitationem. Corrupti dolore nihil est tenetur tenetur perferendis odit.,IoC Detected,19.3,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Vritika Balan,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2627-07-15 06:24:35 Firefox/11.0,Segment A,"Muzaffarnagar, Maharashtra",45.203.210.168,Log Data,Alert Data,Firewall
2022-05-28 02:26:58,107.230.81.225,40.251.72.255,47759,5860,UDP,1061,Control,FTP,Dolores veritatis pariatur provident nulla esse. Repellat nostrum quis saepe illum ex.,IoC Detected,4.59,Alert Triggered,Intrusion,Known Pattern B,Blocked,High,Misha Krishnamurthy,Opera/8.86.(Windows 98; wal-ET) Presto/2.9.164 Version/12.00,Segment C,"Bhind, Chhattisgarh",80.33.75.78,Log Data,Alert Data,Firewall
2023-07-06 03:43:13,117.134.5.208,60.136.162.151,38212,64601,ICMP,437,Control,HTTP,"Autem pariatur sint. Quidem placeat in placeat.
Nobis nostrum quaerat minus cumque doloremque. Eum dicta ex ad. Tempora a in.",IoC Detected,51.66,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Inaaya  Brahmbhatt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/41.0.810.0 Safari/535.1",Segment A,"Ranchi, West Bengal",133.112.153.3,Log Data,Alert Data,Firewall
2020-11-28 14:50:45,53.77.206.116,198.125.70.30,10709,34008,TCP,1357,Control,HTTP,A nihil minima suscipit dolorum. Ratione deserunt fugit ipsum quibusdam doloribus quidem accusamus. Necessitatibus veritatis temporibus enim officia.,IoC Detected,21.47,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Zain Borah,Mozilla/5.0 (Android 2.3.5; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,Segment A,"Bongaigaon, Karnataka",146.31.19.223,Log Data,Alert Data,Server
2020-09-13 16:13:44,144.34.189.244,186.194.39.144,22729,8144,TCP,1089,Control,DNS,"Cupiditate quas dolorem sapiente. Iusto exercitationem possimus iusto nisi exercitationem.
Sint quam nam ut quis nisi dicta. Facere earum reprehenderit quo nisi.",IoC Detected,73.58,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Ranbir Kamdar,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/26.0.896.0 Safari/536.2",Segment B,"Ujjain, Himachal Pradesh",198.174.25.163,Log Data,Alert Data,Server
2021-02-08 21:42:29,115.40.48.16,46.233.7.44,54740,64496,UDP,816,Data,HTTP,"Quaerat repudiandae deleniti repudiandae. Atque ipsa beatae perspiciatis.
Maxime modi aperiam molestiae reprehenderit. Optio natus possimus minima quis dolore.",IoC Detected,54.59,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Pihu Chaudhary,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/42.0.889.0 Safari/534.0",Segment B,"Guntur, Meghalaya",196.254.75.93,Log Data,Alert Data,Server
2023-09-24 15:31:15,143.25.115.93,122.252.160.100,55091,23422,ICMP,465,Control,DNS,Ab aliquam deleniti doloremque. Corporis ullam minus unde cupiditate. Repudiandae culpa excepturi deserunt repellat rem quidem.,IoC Detected,27.89,Alert Triggered,Malware,Known Pattern B,Ignored,High,Vritika Shukla,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/535.12.6 (KHTML, like Gecko) Version/4.0.5 Safari/535.12.6",Segment B,"Singrauli, West Bengal",68.144.185.252,Log Data,Alert Data,Server
2023-01-25 01:07:35,123.116.163.42,214.173.89.130,6753,30762,TCP,402,Data,DNS,Magnam molestias enim sed. Consequuntur magnam placeat pariatur quis. Consequatur earum doloribus aperiam laudantium a placeat.,IoC Detected,44.44,Alert Triggered,Malware,Known Pattern B,Logged,Low,Bhamini Lala,Opera/8.37.(Windows NT 4.0; tr-CY) Presto/2.9.179 Version/10.00,Segment B,"Kurnool, Karnataka",163.9.188.11,Log Data,Alert Data,Server
